Node,Layer,Core Domain
Electrodialysis,Main Concept,Engineering & Technology
Battery electric vehicle,Main Concept,Engineering & Technology
Family conflict,Main Concept,Social Sciences & Humanities
Regionalism (politics),Main Concept,Social Sciences
Synchrotron,Main Concept,Natural Sciences
World history,Main Concept,Life Sciences
Encryption,Main Concept,Formal Sciences
Hodgkin–Huxley model,Main Concept,Life Sciences
Critical current,Main Concept,Engineering & Technology
Coat,Main Concept,Life Sciences
Radioactive Decay and Measurement Techniques,Core Thematic Domain,Natural Sciences
Berlekamp–Welch algorithm,Main Concept,Formal Sciences
Colloid,Main Concept,Life Sciences
Bayesian Methods and Mixture Models,Core Thematic Domain,Formal Sciences
Language Acquisition and Education,Core Thematic Domain,Social Sciences & Humanities
Psychological Theory,Main Concept,Social Sciences & Humanities
Osteomyelitis,Main Concept,Health & Medical Sciences
Preclinical imaging,Main Concept,Health & Medical Sciences
Retributive justice,Main Concept,Social Sciences & Humanities
Laser power scaling,Main Concept,Engineering & Technology
Narrative review,Main Concept,Health & Medical Sciences
Contextual performance,Main Concept,Social Sciences & Humanities
Pyrosequencing,Main Concept,Life Sciences
Leadership and Management,Academic Subdiscipline,Health & Medical Sciences
"Media, Religion, Digital Communication",Core Thematic Domain,Social Sciences & Humanities
Algorithm design,Main Concept,Formal Sciences
Geometrical optics,Main Concept,Engineering & Technology
Data discovery,Main Concept,Formal Sciences
Aortic valve stenosis,Main Concept,Health & Medical Sciences
Flexibility method,Main Concept,Engineering & Technology
Underground infrastructure and sustainability,Core Thematic Domain,Engineering & Technology
High resolution manometry,Main Concept,Health & Medical Sciences
Queue,Main Concept,Formal Sciences
Moral panic,Main Concept,Formal Sciences
Nambu–Jona-Lasinio model,Main Concept,Engineering & Technology
Geophysical and Geoelectrical Methods,Core Thematic Domain,Natural Sciences
Education and Technology Integration,Core Thematic Domain,Social Sciences
Reaction–diffusion system,Main Concept,Engineering & Technology
Authigenic,Main Concept,Natural Sciences
Bone marrow transplant,Main Concept,Health & Medical Sciences
Objectification,Main Concept,Social Sciences & Humanities
Glass properties and applications,Core Thematic Domain,Engineering & Technology
Preferred walking speed,Main Concept,Health & Medical Sciences
Multi-swarm optimization,Main Concept,Formal Sciences
Plastic waste,Main Concept,Engineering & Technology
Left ventricular hypertrophy,Main Concept,Health & Medical Sciences
Surgical planning,Main Concept,Engineering & Technology
Geoscience and Mining Technology,Core Thematic Domain,Engineering & Technology
"Health, psychology, and well-being",Core Thematic Domain,Health & Medical Sciences
Medicinal fungi,Main Concept,Health & Medical Sciences
Targeted drug delivery,Main Concept,Formal Sciences
Housekeeping,Main Concept,Social Sciences
Philosophy of technology,Main Concept,Formal Sciences
Time of flight,Main Concept,Natural Sciences
Clinical history,Main Concept,Health & Medical Sciences
Lexicography and Language Studies,Core Thematic Domain,Social Sciences & Humanities
Reverberation mapping,Main Concept,Engineering & Technology
Psychological safety,Main Concept,Social Sciences & Humanities
Unitary operator,Main Concept,Natural Sciences
Talent development,Main Concept,Social Sciences
Evolution and Genetic Dynamics,Core Thematic Domain,Health & Medical Sciences
Selection (genetic algorithm),Main Concept,Social Sciences & Humanities
Educational leadership,Main Concept,Formal Sciences
Radiation sensitivity,Main Concept,Health & Medical Sciences
Workflow engine,Main Concept,Formal Sciences
IEEE 802.11p,Main Concept,Formal Sciences
Historical geology,Main Concept,Social Sciences
"Pneumothorax, Barotrauma, Emphysema",Core Thematic Domain,Health & Medical Sciences
Visual memory,Main Concept,Life Sciences
Random error,Main Concept,Health & Medical Sciences
Plasma clearance,Main Concept,Health & Medical Sciences
Tropical savanna climate,Main Concept,Natural Sciences
Serum response factor,Main Concept,Life Sciences
Arbuscular mycorrhizal,Main Concept,Life Sciences
R-tree,Main Concept,Formal Sciences
Problem of universals,Main Concept,Social Sciences & Humanities
Immunosenescence,Main Concept,Health & Medical Sciences
Internetworking,Main Concept,Engineering & Technology
Portfolio optimization,Main Concept,Engineering & Technology
Intensive care medicine,Main Concept,Social Sciences & Humanities
Reflux,Main Concept,Health & Medical Sciences
Strengthening the reporting of observational studies in epidemiology,Main Concept,Social Sciences
Recommender system,Main Concept,Formal Sciences
Family and Patient Care in Intensive Care Units,Core Thematic Domain,Health & Medical Sciences
Anemia,Main Concept,Health & Medical Sciences
Bending stiffness,Main Concept,Engineering & Technology
Comprehension,Main Concept,Social Sciences & Humanities
Hydroxycarbamide,Main Concept,Health & Medical Sciences
Cavity quantum electrodynamics,Main Concept,Natural Sciences
Peralkaline rock,Main Concept,Formal Sciences
Telomere,Main Concept,Health & Medical Sciences
Cutaneous Melanoma Detection and Management,Core Thematic Domain,Health & Medical Sciences
Transcranial Magnetic Stimulation Studies,Core Thematic Domain,Health & Medical Sciences
Income distribution,Main Concept,Formal Sciences
Systemic vasculitis,Main Concept,Health & Medical Sciences
Self-healing material,Main Concept,Engineering & Technology
Electron ionization,Main Concept,Health & Medical Sciences
Aryne,Main Concept,Natural Sciences
Object-class detection,Main Concept,Formal Sciences
Internal audit,Main Concept,Social Sciences & Humanities
Vickers hardness test,Main Concept,Engineering & Technology
Antibody opsonization,Main Concept,Health & Medical Sciences
Activated sludge,Main Concept,Formal Sciences
Developmentalism,Main Concept,Social Sciences
Myocarditis,Main Concept,Health & Medical Sciences
Square lattice,Main Concept,Engineering & Technology
Thyroid hormone receptor,Main Concept,Health & Medical Sciences
Data-Driven Disease Surveillance,Core Thematic Domain,Health & Medical Sciences
Semiotics and Representation Studies,Core Thematic Domain,Social Sciences & Humanities
Process safety management,Main Concept,Engineering & Technology
History and Politics in Latin America,Core Thematic Domain,Social Sciences
Decentralised system,Main Concept,Formal Sciences
Mixed farming,Main Concept,Social Sciences
Clean coal technology,Main Concept,Natural Sciences
Thick disk,Main Concept,Natural Sciences
Authentication protocol,Main Concept,Formal Sciences
Lower urinary tract symptoms,Main Concept,Health & Medical Sciences
ARID1A,Main Concept,Health & Medical Sciences
Logic synthesis,Main Concept,Formal Sciences
Neutron emission,Main Concept,Social Sciences & Humanities
Historical and modern epidemiology studies,Core Thematic Domain,Social Sciences
Current source,Main Concept,Engineering & Technology
Pregnancy test,Main Concept,Health & Medical Sciences
Natural killer T cell,Main Concept,Life Sciences
Hypergammaglobulinemia,Main Concept,Health & Medical Sciences
Conjunctive normal form,Main Concept,Formal Sciences
Civility,Main Concept,Social Sciences & Humanities
"Aerospace, Electronics, Mathematical Modeling",Core Thematic Domain,Natural Sciences
Mel-frequency cepstrum,Main Concept,Formal Sciences
Fetishism,Main Concept,Social Sciences & Humanities
Neospora,Main Concept,Life Sciences
Spatial memory,Main Concept,Health & Medical Sciences
Optical wireless,Main Concept,Natural Sciences
Speckle pattern,Main Concept,Health & Medical Sciences
Noise Effects and Management,Core Thematic Domain,Health & Medical Sciences
General Decision Sciences,Academic Subdiscipline,Social Sciences & Humanities
Truss,Main Concept,Formal Sciences
Information hiding,Main Concept,Formal Sciences
Metabotropic glutamate receptor 2,Main Concept,Life Sciences
Autobiographical memory,Main Concept,Social Sciences & Humanities
Neutrophil elastase,Main Concept,Health & Medical Sciences
Glocalization,Main Concept,Social Sciences
Visual Basic,Main Concept,Health & Medical Sciences
Frequentist inference,Main Concept,Formal Sciences
Advanced NMR Techniques and Applications,Core Thematic Domain,Natural Sciences
Employee morale,Main Concept,Life Sciences
Law of war,Main Concept,Social Sciences
Dissent,Main Concept,Formal Sciences
Copy number analysis,Main Concept,Health & Medical Sciences
Acne,Main Concept,Health & Medical Sciences
Deconstruction (building),Main Concept,Social Sciences & Humanities
Educational Assessment and Pedagogy,Core Thematic Domain,Social Sciences
Hamd,Main Concept,Health & Medical Sciences
Welding,Main Concept,Engineering & Technology
Communicable disease,Main Concept,Health & Medical Sciences
Mobile device,Main Concept,Formal Sciences
Shadow price,Main Concept,Formal Sciences
Local search (optimization),Main Concept,Formal Sciences
Soil compaction,Main Concept,Life Sciences
Stripline,Main Concept,Engineering & Technology
Basic helix-loop-helix,Main Concept,Health & Medical Sciences
Intravenous Infusion Technology and Safety,Core Thematic Domain,Engineering & Technology
Chromic acid,Main Concept,Engineering & Technology
Sum of normally distributed random variables,Main Concept,Formal Sciences
Drug Solubulity and Delivery Systems,Core Thematic Domain,Health & Medical Sciences
Primary producers,Main Concept,Natural Sciences
Mantle convection,Main Concept,Natural Sciences
Variable structure system,Main Concept,Engineering & Technology
Manure,Main Concept,Life Sciences
Urban forestry,Main Concept,Natural Sciences
Advanced Photocatalysis Techniques,Core Thematic Domain,Engineering & Technology
Dynamics (music),Main Concept,Social Sciences & Humanities
Wireless lan,Main Concept,Engineering & Technology
Cryoprecipitate,Main Concept,Health & Medical Sciences
Patient education,Main Concept,Health & Medical Sciences
Biocrusts and Microbial Ecology,Core Thematic Domain,Life Sciences
Social theory,Main Concept,Formal Sciences
Readability,Main Concept,Formal Sciences
Italian Literature and Culture,Core Thematic Domain,Social Sciences & Humanities
Bargaining problem,Main Concept,Formal Sciences
Coliform bacteria,Main Concept,Natural Sciences
Pyroclastic rock,Main Concept,Natural Sciences
Curve fitting,Main Concept,Formal Sciences
Kanamycin,Main Concept,Life Sciences
Slab,Main Concept,Engineering & Technology
Biomimetic flight and propulsion mechanisms,Core Thematic Domain,Engineering & Technology
Chondroitin sulfate proteoglycan,Main Concept,Health & Medical Sciences
Coherence theory,Main Concept,Life Sciences
Carbonaceous chondrite,Main Concept,Natural Sciences
Healthcare during COVID-19 Pandemic,Core Thematic Domain,Formal Sciences
American history,Main Concept,Social Sciences & Humanities
Astronomical interferometer,Main Concept,Natural Sciences
Electronic nose,Main Concept,Life Sciences
Lysozyme,Main Concept,Life Sciences
Urban Planning and Valuation,Core Thematic Domain,Natural Sciences
Reliability engineering,Main Concept,Social Sciences & Humanities
Secondary forest,Main Concept,Social Sciences & Humanities
Chromaffin cell,Main Concept,Health & Medical Sciences
Chemistry and Stereochemistry Studies,Core Thematic Domain,Natural Sciences
Social cue,Main Concept,Social Sciences & Humanities
Monkeypox,Main Concept,Life Sciences
Atomic and Molecular Physics,Core Thematic Domain,Natural Sciences
Differentiated instruction,Main Concept,Formal Sciences
Pipe flow,Main Concept,Natural Sciences
Surface (topology),Main Concept,Formal Sciences
Vesicular stomatitis virus,Main Concept,Life Sciences
Curriculum development,Main Concept,Formal Sciences
Allometry,Main Concept,Life Sciences
Myeloid leukaemia,Main Concept,Health & Medical Sciences
Vasodilation,Main Concept,Health & Medical Sciences
Bone disease,Main Concept,Health & Medical Sciences
Genetic heterogeneity,Main Concept,Life Sciences
Nanofluid,Main Concept,Natural Sciences
Historical trauma,Main Concept,Health & Medical Sciences
Cache algorithms,Main Concept,Formal Sciences
Lung volumes,Main Concept,Health & Medical Sciences
Coastal wetland ecosystem dynamics,Core Thematic Domain,Natural Sciences
Machine Fault Diagnosis Techniques,Core Thematic Domain,Engineering & Technology
Dizygotic twins,Main Concept,Life Sciences
Point reflection,Main Concept,Natural Sciences
Function approximation,Main Concept,Formal Sciences
Superfluidity,Main Concept,Engineering & Technology
Nick translation,Main Concept,Life Sciences
Positron,Main Concept,Engineering & Technology
Atomic charge,Main Concept,Engineering & Technology
Bankart repair,Main Concept,Health & Medical Sciences
"Brucella: diagnosis, epidemiology, treatment",Core Thematic Domain,Life Sciences
Marriage and Sexual Relationships,Core Thematic Domain,Social Sciences
ACE inhibitor,Main Concept,Health & Medical Sciences
Mnemonic,Main Concept,Social Sciences & Humanities
Additive Manufacturing and 3D Printing Technologies,Core Thematic Domain,Engineering & Technology
Erikson's stages of psychosocial development,Main Concept,Social Sciences & Humanities
Breed,Main Concept,Life Sciences
Critical infrastructure protection,Main Concept,Engineering & Technology
